AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   13453	-0.270000045E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   13450	-0.270000045E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13411	-0.240000043E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13454	-0.270000045E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   13451	-0.270000045E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13412	-0.240000043E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13363	-0.210000040E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13364	-0.210000040E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13312	-0.180000038E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13313	-0.180000038E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13258	-0.150000036E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13259	-0.150000036E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13447	-0.270000045E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13408	-0.240000043E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13448	-0.270000045E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13409	-0.240000043E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13360	-0.210000040E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13361	-0.210000040E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13309	-0.180000038E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13310	-0.180000038E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13255	-0.150000036E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13256	-0.150000036E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13198	-0.120000033E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13199	-0.120000033E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13474	-0.300000048E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13471	-0.300000048E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
