AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   12479	 0.239999995E-02	-0.900000310E-03	 0.999999225E-04	 0.103745243E-05
   12475	 0.239999995E-02	-0.600000286E-03	 0.399999928E-03	-0.730685801E-06
   12476	 0.239999995E-02	-0.600000286E-03	 0.999999225E-04	 0.103745243E-05
   12489	 0.269999998E-02	-0.150000036E-02	 0.399999928E-03	-0.730685803E-06
   12483	 0.269999998E-02	-0.120000033E-02	 0.399999928E-03	-0.730685798E-06
   12491	 0.269999998E-02	-0.150000036E-02	 0.999999225E-04	 0.103745243E-05
   12485	 0.269999998E-02	-0.120000033E-02	 0.999999225E-04	 0.103745244E-05
   12443	 0.269999998E-02	-0.900000310E-03	 0.399999928E-03	-0.730685792E-06
   12445	 0.269999998E-02	-0.900000310E-03	 0.999999225E-04	 0.103745244E-05
   12437	 0.269999998E-02	-0.600000286E-03	 0.399999928E-03	-0.730685786E-06
   12439	 0.269999998E-02	-0.600000286E-03	 0.999999225E-04	 0.103745245E-05
   12444	 0.300000000E-02	-0.900000310E-03	 0.399999928E-03	-0.730685777E-06
   12438	 0.300000000E-02	-0.600000286E-03	 0.399999928E-03	-0.730685771E-06
   12446	 0.300000000E-02	-0.900000310E-03	 0.999999225E-04	 0.103745246E-05
   12440	 0.300000000E-02	-0.600000286E-03	 0.999999225E-04	 0.103745246E-05
   13453	-0.270000045E-02	-0.150000036E-02	 0.399999928E-03	-0.730685998E-06
   13450	-0.270000045E-02	-0.120000033E-02	 0.399999928E-03	-0.730685993E-06
   13411	-0.240000043E-02	-0.120000033E-02	 0.399999928E-03	-0.730685986E-06
   13454	-0.270000045E-02	-0.150000036E-02	 0.999999225E-04	 0.103745224E-05
   13451	-0.270000045E-02	-0.120000033E-02	 0.999999225E-04	 0.103745224E-05
   13412	-0.240000043E-02	-0.120000033E-02	 0.999999225E-04	 0.103745225E-05
   13363	-0.210000040E-02	-0.120000033E-02	 0.399999928E-03	-0.730685979E-06
   13364	-0.210000040E-02	-0.120000033E-02	 0.999999225E-04	 0.103745226E-05
   13312	-0.180000038E-02	-0.120000033E-02	 0.399999928E-03	-0.730685971E-06
   13313	-0.180000038E-02	-0.120000033E-02	 0.999999225E-04	 0.103745226E-05
   13258	-0.150000036E-02	-0.120000033E-02	 0.399999928E-03	-0.730685963E-06
   13259	-0.150000036E-02	-0.120000033E-02	 0.999999225E-04	 0.103745227E-05
   13447	-0.270000045E-02	-0.900000310E-03	 0.399999928E-03	-0.730685988E-06
   13408	-0.240000043E-02	-0.900000310E-03	 0.399999928E-03	-0.730685981E-06
   13448	-0.270000045E-02	-0.900000310E-03	 0.999999225E-04	 0.103745225E-05
   13409	-0.240000043E-02	-0.900000310E-03	 0.999999225E-04	 0.103745226E-05
   13360	-0.210000040E-02	-0.900000310E-03	 0.399999928E-03	-0.730685974E-06
