AM High Strain File
ANSYS 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:20:42
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	High Strain Value
    1091	-0.120000033E-02	-0.240000043E-02	 0.129999995E-02	 0.270134474E-03
    1092	-0.120000033E-02	-0.240000043E-02	 0.159999995E-02	 0.224061514E-03
    1093	-0.120000033E-02	-0.240000043E-02	 0.189999996E-02	 0.882900470E-04
    1094	-0.120000033E-02	-0.240000043E-02	 0.219999996E-02	 0.457757190E-04
    1095	-0.120000033E-02	-0.240000043E-02	 0.249999997E-02	 0.281433148E-04
    1096	-0.120000033E-02	-0.240000043E-02	 0.279999998E-02	 0.197143166E-04
    1097	-0.120000033E-02	-0.240000043E-02	 0.309999998E-02	 0.158117997E-04
    1098	-0.120000033E-02	-0.240000043E-02	 0.339999999E-02	 0.127261847E-04
    1099	-0.120000033E-02	-0.240000043E-02	 0.369999999E-02	 0.856917811E-05
    1100	-0.120000033E-02	-0.240000043E-02	 0.400000000E-02	 0.700193433E-05
   13210	-0.120000033E-02	-0.210000040E-02	 0.399999928E-03	 0.231594982E-02
   13211	-0.120000033E-02	-0.210000040E-02	 0.999999225E-04	 0.156562113E-02
   13209	-0.120000033E-02	-0.210000040E-02	 0.699999934E-03	 0.404676956E-02
    1101	-0.120000033E-02	-0.210000040E-02	 0.999999940E-03	 0.807789407E-03
    1102	-0.120000033E-02	-0.210000040E-02	 0.129999995E-02	 0.264115274E-03
    1103	-0.120000033E-02	-0.210000040E-02	 0.159999995E-02	 0.221067802E-03
    1104	-0.120000033E-02	-0.210000040E-02	 0.189999996E-02	 0.867824434E-04
    1105	-0.120000033E-02	-0.210000040E-02	 0.219999996E-02	 0.448396916E-04
    1106	-0.120000033E-02	-0.210000040E-02	 0.249999997E-02	 0.273032264E-04
    1107	-0.120000033E-02	-0.210000040E-02	 0.279999998E-02	 0.191900350E-04
    1108	-0.120000033E-02	-0.210000040E-02	 0.309999998E-02	 0.156515216E-04
    1109	-0.120000033E-02	-0.210000040E-02	 0.339999999E-02	 0.116994873E-04
    1110	-0.120000033E-02	-0.210000040E-02	 0.369999999E-02	 0.824095775E-05
    1111	-0.120000033E-02	-0.210000040E-02	 0.400000000E-02	 0.673468177E-05
   13207	-0.120000033E-02	-0.180000038E-02	 0.399999928E-03	 0.230329126E-02
   13208	-0.120000033E-02	-0.180000038E-02	 0.999999225E-04	 0.156477757E-02
   13206	-0.120000033E-02	-0.180000038E-02	 0.699999934E-03	 0.395260758E-02
    1112	-0.120000033E-02	-0.180000038E-02	 0.999999940E-03	 0.801397273E-03
    1113	-0.120000033E-02	-0.180000038E-02	 0.129999995E-02	 0.266543295E-03
    1114	-0.120000033E-02	-0.180000038E-02	 0.159999995E-02	 0.222927926E-03
    1115	-0.120000033E-02	-0.180000038E-02	 0.189999996E-02	 0.859942371E-04
    1116	-0.120000033E-02	-0.180000038E-02	 0.219999996E-02	 0.441587462E-04
    1117	-0.120000033E-02	-0.180000038E-02	 0.249999997E-02	 0.265103053E-04
    1118	-0.120000033E-02	-0.180000038E-02	 0.279999998E-02	 0.177020685E-04
    1119	-0.120000033E-02	-0.180000038E-02	 0.309999998E-02	 0.138198976E-04
    1120	-0.120000033E-02	-0.180000038E-02	 0.339999999E-02	 0.103054139E-04
    1121	-0.120000033E-02	-0.180000038E-02	 0.369999999E-02	 0.838177232E-05
    1122	-0.120000033E-02	-0.180000038E-02	 0.400000000E-02	 0.694650903E-05
    1313	-0.900000310E-03	-0.270000045E-02	 0.129999995E-02	 0.288479150E-03
    1311	-0.900000310E-03	-0.300000048E-02	 0.129999995E-02	 0.303947262E-03
    1310	-0.900000310E-03	-0.300000048E-02	 0.999999940E-03	 0.129200126E-02
    1312	-0.900000310E-03	-0.270000045E-02	 0.999999940E-03	 0.116992343E-02
    1315	-0.900000310E-03	-0.270000045E-02	 0.159999995E-02	 0.199924941E-03
    1314	-0.900000310E-03	-0.300000048E-02	 0.159999995E-02	 0.257533342E-03
    1317	-0.900000310E-03	-0.270000045E-02	 0.189999996E-02	 0.811707762E-04
    1316	-0.900000310E-03	-0.300000048E-02	 0.189999996E-02	 0.108874061E-03
    1319	-0.900000310E-03	-0.270000045E-02	 0.219999996E-02	 0.429109048E-04
    1318	-0.900000310E-03	-0.300000048E-02	 0.219999996E-02	 0.598487719E-04
    1321	-0.900000310E-03	-0.270000045E-02	 0.249999997E-02	 0.266592374E-04
    1320	-0.900000310E-03	-0.300000048E-02	 0.249999997E-02	 0.381242922E-04
    1323	-0.900000310E-03	-0.270000045E-02	 0.279999998E-02	 0.182820212E-04
    1322	-0.900000310E-03	-0.300000048E-02	 0.279999998E-02	 0.281267882E-04
    1325	-0.900000310E-03	-0.270000045E-02	 0.309999998E-02	 0.133828196E-04
    1324	-0.900000310E-03	-0.300000048E-02	 0.309999998E-02	 0.213667454E-04
    1327	-0.900000310E-03	-0.270000045E-02	 0.339999999E-02	 0.102633616E-04
    1326	-0.900000310E-03	-0.300000048E-02	 0.339999999E-02	 0.164350290E-04
    1329	-0.900000310E-03	-0.270000045E-02	 0.369999999E-02	 0.815289693E-05
    1328	-0.900000310E-03	-0.300000048E-02	 0.369999999E-02	 0.124591722E-04
    1331	-0.900000310E-03	-0.270000045E-02	 0.400000000E-02	 0.665251951E-05
    1330	-0.900000310E-03	-0.300000048E-02	 0.400000000E-02	 0.997354056E-05
   13156	-0.900000310E-03	-0.270000045E-02	 0.399999928E-03	 0.395105008E-02
   13153	-0.900000310E-03	-0.240000043E-02	 0.399999928E-03	 0.258148487E-02
   13157	-0.900000310E-03	-0.270000045E-02	 0.999999225E-04	 0.167303631E-02
   13154	-0.900000310E-03	-0.240000043E-02	 0.999999225E-04	 0.156785206E-02
   13155	-0.900000310E-03	-0.270000045E-02	 0.699999934E-03	 0.690530331E-02
   13152	-0.900000310E-03	-0.240000043E-02	 0.699999934E-03	 0.405474842E-02
    1332	-0.900000310E-03	-0.240000043E-02	 0.999999940E-03	 0.799123926E-03
    1333	-0.900000310E-03	-0.240000043E-02	 0.129999995E-02	 0.268542333E-03
    1334	-0.900000310E-03	-0.240000043E-02	 0.159999995E-02	 0.215493771E-03
